纬度：4047.533,经度：11141.856,日期：17年05月10日,时间：01时32分38秒,海拔：1108米
,纬度：4047.621,经度：11141.735,日期：17年05月10日,时间：01时33分46秒,海拔：1058米
,纬度：4047.621,经度：11141.735,日期：17年05月10日,时间：01时33分47秒,海拔：1058米
,纬度：4047.621,经度：11141.735,日期：17年05月10日,时间：01时33分48秒,海拔：1058米
,纬度：4047.621,经度：11141.735,日期：17年05月10日,时间：01时33分49秒,海拔：1058米
,纬度：4047.621,经度：11141.735,日期：17年05月10日,时间：01时33分50秒,海拔：1058米
,纬度：4047.621,经度：11141.735,日期：17年05月10日,时间：01时33分51秒,海拔：1058米
,纬度：4047.621,经度：11141.735,日期：17年05月10日,时间：01时33分52秒,海拔：1058米
,纬度：4047.621,经度：11141.735,日期：17年05月10日,时间：01时33分53秒,海拔：1058米
,纬度：4047.621,经度：11141.735,日期：17年05月10日,时间：01时33分54秒,海拔：1058米
,纬度：4047.621,经度：11141.735,日期：17年05月10日,时间：01时33分55秒,海拔：1058米
,纬度：4047.621,经度：11141.735,日期：17年05月10日,时间：01时33分56秒,海拔：1058米
,纬度：4047.621,经度：11141.735,日期：17年05月10日,时间：01时33分57秒,海拔：1058米
,纬度：4047.621,经度：11141.735,日期：17年05月10日,时间：01时33分58秒,海拔：1058米
,纬度：4047.621,经度：11141.735,日期：17年05月10日,时间：01时33分59秒,海拔：1058米
,纬度：4047.621,经度：11141.735,日期：17年05月10日,时间：01时34分00秒,海拔：1058米
,纬度：4047.621,经度：11141.735,日期：17年05月10日,时间：01时34分01秒,海拔：1058米
,纬度：4047.621,经度：11141.735,日期：17年05月10日,时间：01时34分02秒,海拔：1058米
,纬度：4047.621,经度：11141.735,日期：17年05月10日,时间：01时34分03秒,海拔：1058米
,纬度：4047.621,经度：11141.735,日期：17年05月10日,时间：01时34分04秒,海拔：1058米
,纬度：4047.621,经度：11141.735,日期：17年05月10日,时间：01时34分05秒,海拔：1058米
,纬度：4047.621,经度：11141.735,日期：17年05月10日,时间：01时34分06秒,海拔：1058米
,纬度：4047.621,经度：11141.735,日期：17年05月10日,时间：01时34分07秒,海拔：1058米
,纬度：4047.621,经度：11141.735,日期：17年05月10日,时间：01时34分08秒,海拔：1058米
,纬度：4047.622,经度：11141.734,日期：17年05月10日,时间：01时34分09秒,海拔：1058米
,纬度：4047.622,经度：11141.734,日期：17年05月10日,时间：01时34分10秒,海拔：1058米
,纬度：4047.623,经度：11141.734,日期：17年05月10日,时间：01时34分11秒,海拔：1058米
